"BID" "SSID"
"3998352100_R07C02" "FH0000040169"
"3998359091_R08C01" "FH0000040170"
"3998370149_R12C02" "FH0000040171"
"3998346109_R02C02" "FH0000040172"
"3998346130_R07C01" "FH0000040173"
"3998359090_R03C01" "FH0000040175"
"3998370103_R04C02" "FH0000040176"
"3998346026_R11C02" "FH0000040177"
"3998370093_R11C02" "FH0000040178"
"3998370118_R12C01" "FH0000040179"
"3998370083_R09C02" "FH0000040180"
"3998370013_R07C01" "FH0000040181"
"3998370141_R02C01" "FH0000040182"
"3998370141_R02C02" "FH0000040183"
"3998346131_R06C01" "FH0000040184"
"3998346048_R05C02" "FH0000040185"
"3998352101_R11C01" "FH0000040186"
"3998370122_R11C02" "FH0000040187"
"3998370115_R04C02" "FH0000040188"
"3998352101_R12C02" "FH0000040189"
"3998352100_R02C01" "FH0000040190"
"3998359117_R12C01" "FH0000040191"
"3998359048_R10C02" "FH0000040192"
"3998346043_R11C02" "FH0000040193"
"3998352138_R10C01" "FH0000040194"
"3998370083_R01C02" "FH0000040195"
"3998346125_R01C01" "FH0000040196"
"3998346116_R12C02" "FH0000040197"
"3998346122_R11C02" "FH0000040198"
"3998346139_R10C02" "FH0000040199"
"3998359036_R12C02" "FH0000040200"
"3998370146_R01C01" "FH0000040201"
"3998346026_R10C02" "FH0000040203"
"3998359029_R11C02" "FH0000040204"
"3998346065_R10C01" "FH0000040205"
"3998359090_R07C02" "FH0000040206"
"3998370077_R10C01" "FH0000040207"
"3998346112_R05C02" "FH0000040208"
"3998352152_R04C01" "FH0000040209"
"3998346054_R10C01" "FH0000040210"
"3998370118_R10C02" "FH0000040211"
"3998346065_R04C01" "FH0000040212"
"3998346113_R01C01" "FH0000040213"
"3998346066_R07C02" "FH0000040214"
"3998352138_R12C02" "FH0000040215"
"3998346088_R12C01" "FH0000040216"
"3998370077_R04C02" "FH0000040217"
"3998359087_R05C02" "FH0000040219"
"3998359022_R12C02" "FH0000040220"
"3998346043_R12C02" "FH0000040221"
"3998346006_R09C01" "FH0000040222"
"3998370146_R09C01" "FH0000040223"
"3998370015_R03C01" "FH0000040224"
"3998352107_R10C02" "FH0000040225"
"3998370126_R09C02" "FH0000040226"
"3998346109_R04C01" "FH0000040228"
"3998352108_R03C01" "FH0000040229"
"3998359035_R04C01" "FH0000040230"
"3998370154_R08C01" "FH0000040231"
"3998346127_R11C02" "FH0000040232"
"3998370145_R02C02" "FH0000040233"
"3998346012_R07C01" "FH0000040234"
"3998359090_R12C02" "FH0000040235"
"3998370146_R11C02" "FH0000040236"
"3998352138_R02C01" "FH0000040237"
"3998346105_R10C01" "FH0000040238"
"3998346121_R12C02" "FH0000040239"
"3998370091_R01C02" "FH0000040240"
"3998370103_R02C01" "FH0000040241"
"3998352107_R05C01" "FH0000040242"
"3998346114_R09C02" "FH0000040244"
"3998359063_R07C02" "FH0000040245"
"3998359029_R10C01" "FH0000040246"
"3998370015_R04C02" "FH0000040248"
"3998370093_R06C01" "FH0000040249"
"3998346006_R07C01" "FH0000040250"
"3998352146_R11C02" "FH0000040251"
"3998346132_R11C02" "FH0000040252"
"3998346091_R03C02" "FH0000040253"
"3998346066_R06C01" "FH0000040254"
"3998346085_R04C01" "FH0000040255"
"3998346007_R08C02" "FH0000040256"
"3998352144_R10C01" "FH0000040257"
"3998346065_R03C01" "FH0000040258"
"3998352146_R12C02" "FH0000040259"
"3998370013_R08C01" "FH0000040260"
"3998346057_R08C01" "FH0000040261"
"3998370149_R10C01" "FH0000040262"
"3998352144_R03C02" "FH0000040263"
"3998370141_R07C02" "FH0000040264"
"3998352058_R02C02" "FH0000040265"
"3998346128_R04C02" "FH0000040266"
"3998346108_R09C02" "FH0000040267"
"3998370126_R07C01" "FH0000040268"
"3998352107_R01C01" "FH0000040269"
"3998352058_R07C01" "FH0000040270"
"3998352135_R05C02" "FH0000040271"
"3998370124_R07C02" "FH0000040272"
"3998370140_R11C01" "FH0000040273"
"3998370115_R11C01" "FH0000040274"
"3998359036_R07C02" "FH0000040275"
"3998370029_R05C01" "FH0000040276"
"3998346064_R05C01" "FH0000040277"
"3998346129_R02C01" "FH0000040278"
"3998370083_R02C01" "FH0000040279"
"3998370144_R02C01" "FH0000040280"
"3998370144_R08C02" "FH0000040281"
"3998370091_R04C02" "FH0000040282"
"3998346125_R02C01" "FH0000040283"
"3998346086_R12C01" "FH0000040284"
"3998370010_R09C02" "FH0000040285"
"3998352137_R06C01" "FH0000040286"
"3998352100_R11C01" "FH0000040287"
"3998346102_R08C02" "FH0000040288"
"3998346066_R12C01" "FH0000040289"
"3998346127_R06C01" "FH0000040290"
"3998370013_R06C01" "FH0000040291"
"3998346113_R05C02" "FH0000040292"
"3998346012_R06C02" "FH0000040293"
"3998346012_R11C01" "FH0000040294"
"3998346064_R09C01" "FH0000040295"
"3998352108_R07C01" "FH0000040296"
"3998359001_R10C02" "FH0000040297"
"3998346057_R02C01" "FH0000040298"
"3998346131_R03C02" "FH0000040299"
"3998346130_R01C01" "FH0000040300"
"3998346108_R07C01" "FH0000040301"
"3998370149_R05C02" "FH0000040302"
"3998370083_R06C01" "FH0000040303"
"3998370115_R12C01" "FH0000040304"
"3998370141_R09C02" "FH0000040305"
"3998370091_R07C02" "FH0000040306"
"3998346125_R12C02" "FH0000040307"
"3998370149_R04C01" "FH0000040308"
"3998352107_R04C02" "FH0000040309"
"3998370129_R05C02" "FH0000040310"
"3998346109_R06C02" "FH0000040311"
"3998352100_R12C01" "FH0000040312"
"3998352100_R04C02" "FH0000040313"
"3998346057_R03C02" "FH0000040315"
"3998346009_R09C01" "FH0000040316"
"3998352138_R11C02" "FH0000040317"
"3998346109_R08C02" "FH0000040318"
"3998370140_R04C01" "FH0000040319"
"3998359091_R06C02" "FH0000040321"
"3998370140_R01C02" "FH0000040322"
"3998346125_R03C01" "FH0000040323"
"3998370118_R06C01" "FH0000040324"
"3998370121_R07C02" "FH0000040325"
"3998346064_R09C02" "FH0000040327"
"3998346054_R07C01" "FH0000040328"
"3998352153_R09C01" "FH0000040329"
"3998359029_R01C01" "FH0000040330"
"3998370091_R09C01" "FH0000040333"
"3998346113_R06C01" "FH0000040334"
"3998370145_R07C02" "FH0000040336"
"3998370115_R09C01" "FH0000040337"
"3998346139_R09C02" "FH0000040338"
"3998370077_R05C02" "FH0000040339"
"3998359091_R12C02" "FH0000040340"
"3998352146_R06C02" "FH0000040341"
"3998346129_R02C02" "FH0000040342"
"3998352144_R06C02" "FH0000040343"
"3998370008_R07C02" "FH0000040344"
"3998346087_R09C01" "FH0000040345"
"3998346007_R03C02" "FH0000040346"
"3998346109_R08C01" "FH0000040347"
"3998346137_R09C01" "FH0000040348"
"3998346012_R12C01" "FH0000040349"
"3998346125_R11C02" "FH0000040350"
"3998346012_R06C01" "FH0000040351"
"3998370121_R08C02" "FH0000040352"
"3998359117_R08C01" "FH0000040353"
"3998346130_R09C02" "FH0000040354"
"3998359036_R09C01" "FH0000040355"
"3998352108_R03C02" "FH0000040356"
"3998370147_R12C01" "FH0000040357"
"3998346116_R10C02" "FH0000040359"
"3998352152_R12C02" "FH0000040360"
"3998370129_R04C01" "FH0000040361"
"3998359048_R11C01" "FH0000040362"
"3998370013_R09C01" "FH0000040363"
"3998346009_R04C01" "FH0000040364"
"3998346116_R03C02" "FH0000040365"
"3998370103_R03C02" "FH0000040366"
"3998352101_R04C02" "FH0000040367"
"3998346112_R04C01" "FH0000040368"
"3998370121_R11C01" "FH0000040369"
"3998346131_R06C02" "FH0000040370"
"3998346087_R03C02" "FH0000040371"
"3998346091_R02C01" "FH0000040372"
"3998359036_R11C02" "FH0000040373"
"3998370146_R08C02" "FH0000040374"
"3998370140_R01C01" "FH0000040375"
"3998346102_R06C01" "FH0000040376"
"3998370121_R02C01" "FH0000040377"
"3998370161_R11C01" "FH0000040378"
"3998352108_R10C01" "FH0000040379"
"3998346132_R10C02" "FH0000040380"
"3998346105_R04C02" "FH0000040381"
"3998346090_R11C02" "FH0000040382"
"3998346044_R02C02" "FH0000040383"
"3998346088_R03C01" "FH0000040384"
"3998370077_R02C01" "FH0000040385"
"3998370083_R01C01" "FH0000040386"
"3998370023_R06C01" "FH0000040387"
"3998370124_R02C01" "FH0000040389"
"3998359091_R05C01" "FH0000040390"
"3998370023_R02C02" "FH0000040391"
"3998346114_R08C01" "FH0000040392"
"3998352107_R02C02" "FH0000040393"
"3998370126_R05C02" "FH0000040394"
"3998346088_R09C01" "FH0000040395"
"3998346086_R06C02" "FH0000040396"
"3998359031_R05C01" "FH0000040397"
"3998359091_R07C01" "FH0000040398"
"3998346006_R08C01" "FH0000040399"
"3998370121_R01C01" "FH0000040400"
"3998346044_R09C01" "FH0000040401"
"3998352108_R07C02" "FH0000040402"
"3998370140_R05C02" "FH0000040403"
"3998352152_R10C01" "FH0000040404"
"3998370115_R10C01" "FH0000040405"
"3998346048_R01C02" "FH0000040406"
"3998346122_R04C01" "FH0000040407"
"3998346105_R12C01" "FH0000040408"
"3998352138_R07C02" "FH0000040409"
"3998346110_R07C02" "FH0000040410"
"3998352112_R06C01" "FH0000040411"
"3998359001_R06C02" "FH0000040412"
"3998370103_R11C02" "FH0000040413"
"3998346085_R06C01" "FH0000040414"
"3998352146_R09C02" "FH0000040415"
"3998370077_R05C01" "FH0000040416"
"3998346067_R11C02" "FH0000040417"
"3998346064_R01C02" "FH0000040418"
"3998352112_R05C02" "FH0000040419"
"3998346043_R04C01" "FH0000040420"
"3998370126_R05C01" "FH0000040421"
"3998352138_R11C01" "FH0000040422"
"3998352144_R03C01" "FH0000040423"
"3998352107_R04C01" "FH0000040425"
"3998370145_R11C02" "FH0000040426"
"3998370118_R04C02" "FH0000040428"
"3998370091_R06C02" "FH0000040429"
"3998352138_R05C02" "FH0000040430"
"3998346102_R08C01" "FH0000040431"
"3998346087_R04C02" "FH0000040432"
"3998346036_R04C01" "FH0000040433"
"3998346124_R02C02" "FH0000040434"
"3998370077_R10C02" "FH0000040435"
"3998359031_R08C01" "FH0000040436"
"3998370154_R04C01" "FH0000040437"
"3998346121_R09C01" "FH0000040438"
"3998352100_R07C01" "FH0000040439"
"3998370124_R11C01" "FH0000040440"
"3998346091_R04C01" "FH0000040441"
"3998346091_R07C02" "FH0000040442"
"3998359031_R08C02" "FH0000040443"
"3998359048_R05C01" "FH0000040444"
"3998346122_R06C02" "FH0000040445"
"3998352144_R10C02" "FH0000040446"
"3998370091_R03C02" "FH0000040448"
"3998352137_R12C02" "FH0000040449"
"3998352107_R06C02" "FH0000040450"
"3998359117_R10C01" "FH0000040451"
"3998346012_R04C01" "FH0000040452"
"3998370029_R02C01" "FH0000040453"
"3998346026_R01C01" "FH0000040454"
"3998346085_R10C02" "FH0000040455"
"3998346110_R05C02" "FH0000040456"
"3998359117_R04C01" "FH0000040457"
"3998346088_R06C01" "FH0000040458"
"3998346086_R08C02" "FH0000040459"
"3998370126_R12C01" "FH0000040460"
"3998359022_R12C01" "FH0000040461"
"3998346094_R09C02" "FH0000040462"
"3998352137_R07C01" "FH0000040463"
"3998346067_R05C02" "FH0000040464"
"3998370015_R08C02" "FH0000040465"
"3998352146_R04C02" "FH0000040466"
"3998346007_R11C01" "FH0000040467"
"3998346088_R10C02" "FH0000040468"
"3998352165_R02C02" "FH0000040469"
"3998346007_R05C01" "FH0000040470"
"3998370147_R08C02" "FH0000040471"
"3998370029_R09C02" "FH0000040472"
"3998359035_R04C02" "FH0000040473"
"3998346006_R01C02" "FH0000040474"
"3998370010_R01C01" "FH0000040475"
"3998359117_R02C01" "FH0000040476"
"3998352101_R09C02" "FH0000040477"
"3998370008_R06C02" "FH0000040478"
"3998346102_R10C01" "FH0000040479"
"3998370077_R03C01" "FH0000040480"
"3998370122_R01C01" "FH0000040481"
"3998359091_R07C02" "FH0000040482"
"3998346125_R02C02" "FH0000040483"
"3998346048_R07C02" "FH0000040484"
"3998352108_R05C02" "FH0000040485"
"3998346112_R09C02" "FH0000040486"
"3998346036_R04C02" "FH0000040487"
"3998352152_R05C01" "FH0000040488"
"3998370124_R05C01" "FH0000040489"
"3998352165_R04C02" "FH0000040491"
"3998370129_R12C02" "FH0000040492"
"3998346113_R02C02" "FH0000040493"
"3998346043_R10C02" "FH0000040494"
"3998346066_R04C02" "FH0000040495"
"3998370023_R04C01" "FH0000040496"
"3998346122_R09C02" "FH0000040497"
"3998346132_R03C01" "FH0000040498"
"3998346067_R01C01" "FH0000040499"
"3998370013_R05C01" "FH0000040500"
"3998370140_R08C01" "FH0000040501"
"3998352165_R07C01" "FH0000040502"
"3998346067_R04C02" "FH0000040503"
"3998346121_R10C02" "FH0000040504"
"3998370147_R06C01" "FH0000040505"
"3998346066_R03C02" "FH0000040506"
"3998346128_R05C02" "FH0000040507"
"3998359063_R08C02" "FH0000040508"
"3998370023_R01C02" "FH0000040509"
"3998370091_R08C02" "FH0000040510"
"3998346118_R08C02" "FH0000040511"
"3998346118_R05C02" "FH0000040512"
"3998359090_R04C01" "FH0000040513"
"3998370121_R04C02" "FH0000040514"
"3998346137_R03C01" "FH0000040515"
"3998346109_R07C01" "FH0000040516"
"3998352108_R10C02" "FH0000040517"
"3998370107_R10C02" "FH0000040518"
"3998359048_R12C01" "FH0000040519"
"3998370103_R11C01" "FH0000040520"
"3998370091_R01C01" "FH0000040521"
"3998370122_R06C01" "FH0000040522"
"3998352101_R11C02" "FH0000040523"
"3998346137_R04C01" "FH0000040524"
"3998370140_R12C02" "FH0000040525"
"3998370077_R12C01" "FH0000040526"
"3998359022_R06C01" "FH0000040527"
"3998352146_R07C02" "FH0000040528"
"3998346110_R08C01" "FH0000040529"
"3998346108_R06C01" "FH0000040530"
"3998370103_R08C01" "FH0000040531"
"3998346054_R06C01" "FH0000040532"
"3998359031_R11C01" "FH0000040533"
"3998359035_R09C02" "FH0000040534"
"3998346122_R02C01" "FH0000040535"
"3998346054_R10C02" "FH0000040536"
"3998346094_R06C01" "FH0000040537"
"3998359001_R04C02" "FH0000040539"
"3998370015_R10C02" "FH0000040540"
"3998370029_R05C02" "FH0000040541"
"3998346124_R11C01" "FH0000040542"
"3998346102_R05C02" "FH0000040543"
"3998346006_R07C02" "FH0000040544"
"3998346091_R09C02" "FH0000040545"
"3998346064_R02C02" "FH0000040546"
"3998346109_R10C01" "FH0000040547"
"3998346108_R11C02" "FH0000040548"
"3998359090_R10C01" "FH0000040549"
"3998352146_R09C01" "FH0000040550"
"3998346129_R09C01" "FH0000040551"
"3998346122_R07C01" "FH0000040552"
"3998346094_R08C01" "FH0000040553"
"3998370124_R06C01" "FH0000040554"
"3998352112_R12C02" "FH0000040555"
"3998370147_R01C02" "FH0000040556"
"3998346125_R04C02" "FH0000040557"
"3998352135_R12C02" "FH0000040558"
"3998359001_R02C01" "FH0000040559"
"3998346131_R10C02" "FH0000040560"
"3998346048_R10C02" "FH0000040561"
"3998346121_R01C01" "FH0000040562"
"3998346137_R04C02" "FH0000040563"
"3998352108_R02C01" "FH0000040564"
"3998370015_R05C01" "FH0000040565"
"3998352138_R12C01" "FH0000040566"
"3998352146_R06C01" "FH0000040567"
"3998359117_R11C01" "FH0000040568"
"3998346064_R10C01" "FH0000040569"
"3998370023_R07C02" "FH0000040570"
"3998352137_R06C02" "FH0000040571"
"3998370122_R09C01" "FH0000040572"
"3998346026_R03C01" "FH0000040573"
"3998352152_R08C02" "FH0000040574"
"3998370147_R11C01" "FH0000040575"
"3998352153_R07C01" "FH0000040576"
"3998370091_R05C02" "FH0000040577"
"3998359022_R03C02" "FH0000040578"
"3998370091_R11C01" "FH0000040579"
"3998370077_R01C02" "FH0000040580"
"3998346048_R06C01" "FH0000040581"
"3998352058_R09C02" "FH0000040582"
"3998370118_R04C01" "FH0000040583"
"3998352146_R08C02" "FH0000040584"
"3998359031_R10C02" "FH0000040585"
"3998346118_R07C02" "FH0000040586"
"3998346057_R01C01" "FH0000040587"
"3998352152_R01C02" "FH0000040588"
"3998346036_R10C01" "FH0000040589"
"3998370144_R04C01" "FH0000040590"
"3998346094_R11C01" "FH0000040591"
"3998346114_R02C01" "FH0000040592"
"3998370122_R04C01" "FH0000040593"
"3998370146_R04C02" "FH0000040594"
"3998370107_R06C02" "FH0000040595"
"3998346022_R08C02" "FH0000040596"
"3998346114_R01C01" "FH0000040597"
"3998346067_R01C02" "FH0000040598"
"3998346124_R02C01" "FH0000040599"
"3998370121_R09C01" "FH0000040601"
"3998346112_R10C02" "FH0000040602"
"3998346085_R01C01" "FH0000040603"
"3998359063_R03C01" "FH0000040604"
"3998352146_R11C01" "FH0000040605"
"3998346118_R11C02" "FH0000040606"
"3998346006_R09C02" "FH0000040607"
"3998352138_R07C01" "FH0000040608"
"3998346065_R10C02" "FH0000040609"
"3998370154_R10C02" "FH0000040610"
"3998346067_R06C01" "FH0000040611"
"3998352135_R11C02" "FH0000040612"
"3998346090_R07C02" "FH0000040613"
"3998346087_R11C02" "FH0000040614"
"3998370146_R03C01" "FH0000040615"
"3998370107_R09C02" "FH0000040616"
"3998346067_R02C02" "FH0000040617"
"3998346139_R03C01" "FH0000040618"
"3998352138_R09C01" "FH0000040619"
"3998370008_R01C01" "FH0000040620"
"3998352108_R02C02" "FH0000040621"
"3998370121_R09C02" "FH0000040622"
"3998346085_R08C02" "FH0000040623"
"3998346121_R06C02" "FH0000040624"
"3998352107_R06C01" "FH0000040625"
"3998359022_R01C01" "FH0000040626"
"3998346085_R08C01" "FH0000040627"
"3998346131_R12C02" "FH0000040628"
"3998352108_R11C02" "FH0000040629"
"3998370083_R12C02" "FH0000040630"
"3998346085_R11C02" "FH0000040631"
"3998370091_R12C02" "FH0000040632"
"3998352112_R12C01" "FH0000040633"
"3998370129_R10C01" "FH0000040634"
"3998346009_R10C02" "FH0000040635"
"3998370121_R06C01" "FH0000040636"
"3998352112_R10C02" "FH0000040637"
"3998359022_R08C01" "FH0000040639"
"3998346065_R08C01" "FH0000040640"
"3998370126_R11C02" "FH0000040641"
"3998346085_R03C01" "FH0000040642"
"3998370107_R02C02" "FH0000040643"
"3998359090_R09C01" "FH0000040644"
"3998352152_R07C01" "FH0000040645"
"3998359031_R04C02" "FH0000040646"
"3998370129_R09C01" "FH0000040647"
"3998370124_R06C02" "FH0000040648"
"3998370118_R05C01" "FH0000040649"
"3998346007_R07C01" "FH0000040650"
"3998359001_R07C01" "FH0000040651"
"3998370091_R07C01" "FH0000040652"
"3998352138_R10C02" "FH0000040653"
"3998370146_R06C01" "FH0000040654"
"3998370115_R03C01" "FH0000040655"
"3998346131_R07C02" "FH0000040656"
"3998359117_R03C02" "FH0000040657"
"3998346022_R06C01" "FH0000040658"
"3998370103_R06C01" "FH0000040659"
"3998370077_R04C01" "FH0000040660"
"3998346127_R07C01" "FH0000040661"
"3998346124_R01C02" "FH0000040662"
"3998346048_R12C02" "FH0000040663"
"3998346090_R10C02" "FH0000040664"
"3998346088_R07C02" "FH0000040665"
"3998352112_R08C02" "FH0000040666"
"3998359048_R05C02" "FH0000040667"
"3998346064_R01C01" "FH0000040668"
"3998346127_R08C01" "FH0000040669"
"3998359090_R04C02" "FH0000040670"
"3998370145_R01C01" "FH0000040671"
"3998346044_R09C02" "FH0000040672"
"3998370083_R04C02" "FH0000040673"
"3998346094_R01C01" "FH0000040674"
"3998359022_R03C01" "FH0000040675"
"3998346012_R02C02" "FH0000040676"
"3998359048_R02C01" "FH0000040677"
"3998370140_R02C01" "FH0000040678"
"3998352153_R01C01" "FH0000040679"
"3998346006_R12C01" "FH0000040680"
"3998346066_R01C01" "FH0000040681"
"3998370144_R04C02" "FH0000040682"
"3998370103_R04C01" "FH0000040683"
"3998346036_R02C01" "FH0000040684"
"3998370013_R12C02" "FH0000040685"
"3998346128_R08C02" "FH0000040686"
"3998346043_R02C01" "FH0000040687"
"3998346129_R09C02" "FH0000040688"
"3998352165_R05C02" "FH0000040689"
"3998346012_R01C02" "FH0000040690"
"3998346130_R10C01" "FH0000040691"
"3998352107_R01C02" "FH0000040692"
"3998359048_R03C01" "FH0000040693"
"3998346090_R05C01" "FH0000040694"
"3998346088_R10C01" "FH0000040695"
"3998346054_R11C01" "FH0000040697"
"3998346065_R06C01" "FH0000040698"
"3998370161_R02C01" "FH0000040700"
"3998370107_R01C02" "FH0000040701"
"3998370077_R08C02" "FH0000040702"
"3998346131_R05C02" "FH0000040703"
"3998352152_R09C01" "FH0000040704"
"3998370015_R12C02" "FH0000040705"
"3998352165_R03C02" "FH0000040706"
"3998346116_R08C02" "FH0000040707"
"3998346065_R05C02" "FH0000040708"
"3998359001_R02C02" "FH0000040709"
"3998346114_R04C02" "FH0000040710"
"3998346067_R12C02" "FH0000040711"
"3998370008_R10C02" "FH0000040712"
"3998359022_R11C01" "FH0000040715"
"3998346066_R02C01" "FH0000040716"
"3998370008_R08C01" "FH0000040717"
"3998352165_R01C01" "FH0000040718"
"3998346086_R03C01" "FH0000040719"
"3998359091_R01C01" "FH0000040720"
"3998359091_R11C02" "FH0000040721"
"3998370008_R06C01" "FH0000040723"
"3998370023_R11C02" "FH0000040724"
"3998359029_R04C02" "FH0000040725"
"3998352138_R05C01" "FH0000040726"
"3998346009_R12C02" "FH0000040727"
"3998346139_R06C02" "FH0000040728"
"3998346110_R03C02" "FH0000040729"
"3998346066_R05C01" "FH0000040730"
"3998359029_R09C02" "FH0000040731"
"3998370121_R07C01" "FH0000040732"
"3998346094_R04C02" "FH0000040733"
"3998352135_R08C01" "FH0000040734"
"3998359029_R03C01" "FH0000040735"
"3998359036_R06C02" "FH0000040736"
"3998359001_R05C01" "FH0000040739"
"3998346130_R05C02" "FH0000040740"
"3998346110_R02C01" "FH0000040741"
"3998359091_R01C02" "FH0000040742"
"3998346114_R07C02" "FH0000040743"
"3998346102_R05C01" "FH0000040744"
"3998352153_R12C02" "FH0000040745"
"3998346128_R12C02" "FH0000040746"
"3998346036_R09C02" "FH0000040747"
"3998359001_R11C02" "FH0000040748"
"3998352138_R03C01" "FH0000040749"
"3998346137_R09C02" "FH0000040750"
"3998370147_R09C01" "FH0000040751"
"3998370107_R03C01" "FH0000040752"
"3998346112_R01C01" "FH0000040753"
"3998346067_R04C01" "FH0000040754"
"3998346048_R12C01" "FH0000040755"
"3998346114_R05C01" "FH0000040756"
"3998352165_R08C02" "FH0000040757"
"3998370144_R02C02" "FH0000040758"
"3998346132_R02C02" "FH0000040759"
"3998346139_R07C02" "FH0000040760"
"3998359035_R06C02" "FH0000040761"
"3998346009_R10C01" "FH0000040762"
"3998352107_R11C01" "FH0000040763"
"3998352137_R03C02" "FH0000040764"
"3998346006_R10C01" "FH0000040765"
"3998370161_R05C01" "FH0000040766"
"3998359036_R10C02" "FH0000040767"
"3998359091_R02C02" "FH0000040768"
"3998370091_R10C01" "FH0000040769"
"3998370093_R08C01" "FH0000040770"
"3998346114_R12C02" "FH0000040771"
"3998359035_R03C01" "FH0000040772"
"3998359036_R05C02" "FH0000040773"
"3998346086_R11C02" "FH0000040774"
"3998352100_R10C02" "FH0000040775"
"3998370129_R12C01" "FH0000040776"
"3998346125_R12C01" "FH0000040777"
"3998346009_R08C02" "FH0000040778"
"3998346064_R04C02" "FH0000040780"
"3998346132_R11C01" "FH0000040781"
"3998346066_R10C02" "FH0000040782"
"3998370141_R06C02" "FH0000040783"
"3998352112_R07C02" "FH0000040784"
"3998370149_R08C02" "FH0000040785"
"3998346036_R02C02" "FH0000040786"
"3998359048_R08C02" "FH0000040787"
"3998370147_R01C01" "FH0000040788"
"3998346124_R06C01" "FH0000040789"
"3998370008_R03C02" "FH0000040790"
"3998370124_R05C02" "FH0000040791"
"3998370115_R06C01" "FH0000040792"
"3998370015_R11C02" "FH0000040793"
"3998346022_R05C01" "FH0000040794"
"3998370140_R12C01" "FH0000040795"
"3998346132_R01C01" "FH0000040796"
"3998370077_R06C01" "FH0000040797"
"3998359031_R07C02" "FH0000040798"
"3998370091_R05C01" "FH0000040799"
"3998370126_R06C02" "FH0000040800"
"3998359029_R04C01" "FH0000040801"
"3998346113_R04C02" "FH0000040802"
"3998359036_R02C01" "FH0000040803"
"3998346094_R03C02" "FH0000040804"
"3998370161_R08C02" "FH0000040805"
"3998346121_R08C01" "FH0000040806"
"3998346044_R05C01" "FH0000040807"
"3998346112_R08C01" "FH0000040808"
"3998346121_R09C02" "FH0000040809"
"3998346048_R02C02" "FH0000040810"
"3998370015_R02C01" "FH0000040811"
"3998346088_R06C02" "FH0000040812"
"3998346087_R08C02" "FH0000040813"
"3998346114_R11C01" "FH0000040814"
"3998346022_R04C01" "FH0000040815"
"3998352153_R09C02" "FH0000040816"
"3998346108_R08C02" "FH0000040817"
"3998352137_R11C01" "FH0000040818"
"3998346009_R06C02" "FH0000040819"
"3998352153_R07C02" "FH0000040820"
"3998346132_R04C02" "FH0000040821"
"3998370141_R11C02" "FH0000040822"
"3998346012_R08C01" "FH0000040823"
"3998346112_R04C02" "FH0000040824"
"3998370129_R10C02" "FH0000040825"
"3998346088_R08C01" "FH0000040826"
"3998346086_R01C01" "FH0000040827"
"3998346108_R09C01" "FH0000040828"
"3998346109_R11C02" "FH0000040829"
"3998346067_R09C01" "FH0000040830"
"3998346022_R10C01" "FH0000040831"
"3998346116_R09C02" "FH0000040832"
"3998346110_R09C01" "FH0000040833"
"3998359087_R10C02" "FH0000040834"
"3998370141_R09C01" "FH0000040835"
"3998346090_R05C02" "FH0000040836"
"3998370023_R01C01" "FH0000040837"
"3998346036_R07C01" "FH0000040838"
"3998359036_R01C02" "FH0000040839"
"3998346054_R02C02" "FH0000040840"
"3998370126_R12C02" "FH0000040841"
"3998346026_R04C02" "FH0000040842"
"3998352107_R07C01" "FH0000040843"
"3998352138_R06C01" "FH0000040844"
"3998346026_R09C02" "FH0000040845"
"3998352108_R06C01" "FH0000040846"
"3998346102_R09C01" "FH0000040847"
"3998370122_R10C02" "FH0000040849"
"3998346129_R08C01" "FH0000040850"
"3998346043_R05C01" "FH0000040851"
"3998352153_R06C02" "FH0000040852"
"3998352100_R08C01" "FH0000040853"
"3998346132_R07C02" "FH0000040854"
"3998370013_R04C01" "FH0000040855"
"3998359090_R06C02" "FH0000040856"
"3998346122_R08C02" "FH0000040857"
"3998346086_R02C02" "FH0000040858"
"3998370141_R10C02" "FH0000040859"
"3998346124_R11C02" "FH0000040861"
"3998370015_R01C02" "FH0000040862"
"3998346105_R03C01" "FH0000040863"
"3998346086_R07C01" "FH0000040864"
"3998370161_R04C01" "FH0000040865"
"3998346112_R07C01" "FH0000040866"
"3998346113_R10C02" "FH0000040867"
"3998370140_R06C02" "FH0000040868"
"3998370015_R06C02" "FH0000040869"
"3998370093_R12C01" "FH0000040871"
"3998370147_R11C02" "FH0000040872"
"3998346122_R12C02" "FH0000040873"
"3998346065_R07C01" "FH0000040874"
"3998346090_R06C02" "FH0000040875"
"3998370118_R02C02" "FH0000040876"
"3998346086_R04C01" "FH0000040877"
"3998346090_R12C01" "FH0000040878"
"3998352100_R05C02" "FH0000040879"
"3998352101_R02C02" "FH0000040880"
"3998346131_R01C02" "FH0000040881"
"3998359031_R04C01" "FH0000040883"
"3998352165_R06C02" "FH0000040884"
"3998346128_R06C02" "FH0000040886"
"3998370093_R04C01" "FH0000040887"
"3998346114_R01C02" "FH0000040888"
"3998346127_R10C01" "FH0000040889"
"3998352135_R10C02" "FH0000040890"
"3998370093_R07C02" "FH0000040891"
"3998346048_R10C01" "FH0000040892"
"3998370008_R12C02" "FH0000040893"
"3998370149_R08C01" "FH0000040894"
"3998359022_R04C02" "FH0000040895"
"3998346127_R09C02" "FH0000040896"
"3998346064_R08C01" "FH0000040897"
"3998346124_R05C02" "FH0000040898"
"3998370029_R12C01" "FH0000040899"
"3998346129_R06C02" "FH0000040900"
"3998346087_R12C02" "FH0000040901"
